game_name,release_date,Added to Service,Removed from Service,metacritic_score,publisher,developer,System
Conquests of the Longbow: The Legend of Robin Hood,1/1/1991,5/1/2025,,,"Activision Blizzard, Sierra On-Line, Sierra Entertainment","Sierra Entertainment, Sierra, Sierra On-Line",Xbox / PC
Cosmic Ark,8/1/1982,5/1/2025,,,Imagic,Imagic,Xbox / PC
Crackpots,5/1/1983,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Decathlon,3/1/1983,5/1/2025,,,Chengdu Huanqiu Shidai Technology Co,HAPMONKEY,Xbox / PC
Demon Attack,4/1/1988,5/1/2025,,,Imagic,Imagic,Xbox / PC
Dolphin,12/1/1983,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Dragster,7/1/1980,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Enduro,2/1/1983,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Fathom,8/1/1983,5/1/2025,,,,strayvoltage,Xbox / PC
Fire Fighter,9/1/1982,5/1/2025,,,Dataware,Dataware,Xbox / PC
Fishing Derby,7/1/1980,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Freddy Pharkas: Frontier Pharmacist,1/1/1993,5/1/2025,,,Activision Blizzard,Sierra,Xbox / PC
Freeway,7/1/1981,5/1/2025,,,Activision Blizzard,,Xbox / PC
Frostbite,8/1/1983,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Grand Prix,3/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
H.E.R.O.,3/1/1984,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Kaboom!,1/1/1984,5/1/2025,,,,,Xbox / PC
Laser Blast,3/1/1981,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
MechWarrior,12/1/1989,5/1/2025,,,"Activision Blizzard, Victor Interactive Software","Activision, Beam Software, Dynamix, Krome Studios Melbourne",Xbox / PC
MechWarrior 2: 31st Century Combat,7/1/1995,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Megamania,4/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Pitfall II: Lost Caverns,9/1/1983,5/1/2025,,,"SEGA, Activision Blizzard",Activision,Xbox / PC
Pitfall!,4/1/1982,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
Police Quest,1/1/1987,5/1/2025,,,Coda Platform,Coda Platform,Xbox / PC
Pressure Cooker,2/1/1983,5/1/2025,,,Activision Blizzard,Activision,Xbox / PC
